request_id,department,channel,region,service_area,customer_type,previous_requests_90d,requester_tenure_months,request_text_length,sentiment_score,updates_first_24h,attachments_count,opened_hour,opened_weekday,sla_breach,priority_level,resolution_hours_after_close,closed_status_after_close,escalation_outcome_after_close
SR-00781,Finance,Phone,England,Onboarding,SME Client,6,3,200,-0.574,3,0,10,Mon,0,Low,24.1,Closed within SLA,No escalation
SR-00738,Finance,Chat,England,Billing,Internal,6,21,218,-0.374,1,1,15,Wed,0,Low,24.9,Closed within SLA,No escalation
SR-00447,Legal,Email,England,Technical,Internal,2,57,238,0.938,0,2,18,Thu,1,Low,57.7,Closed after SLA,No escalation
SR-00557,Finance,Portal,England,Access,Public Sector,1,36,89,0.104,5,1,13,Fri,0,Standard,7.6,Closed within SLA,No escalation
SR-00603,Customer Support,Portal,Scotland,Billing,Internal,3,45,222,-0.614,1,1,8,Wed,0,Urgent,6.8,Closed within SLA,No escalation
SR-00082,HR,Phone,England,Access,Internal,0,15,329,-0.344,1,1,9,Wed,0,Low,5.5,Closed within SLA,No escalation
SR-00831,IT,Chat,England,Access,Internal,1,65,251,0.4,2,1,18,Tue,0,Low,22.6,Closed within SLA,No escalation
SR-00398,Finance,Portal,England,Billing,SME Client,0,16,190,1.0,2,0,15,Wed,0,Low,30.2,Closed within SLA,Team review
SR-00750,Customer Support,Phone,England,Policy,Enterprise Client,1,14,173,0.444,4,0,17,Thu,0,Low,20.1,Closed within SLA,No escalation
SR-00811,Operations,Phone,Wales,Data Request,SME Client,4,71,99,-0.456,0,0,12,Wed,1,Urgent,56.1,Closed after SLA,Escalated after breach
SR-00598,IT,Email,England,Onboarding,Public Sector,3,35,95,0.239,1,1,12,Wed,1,Standard,65.2,Closed after SLA,No escalation
SR-00067,IT,Chat,Wales,Onboarding,Internal,1,28,224,0.797,1,0,16,Tue,0,Low,17.0,Closed within SLA,No escalation
SR-00673,Legal,Email,Scotland,Policy,Enterprise Client,2,76,71,-0.354,1,0,12,Mon,0,Low,16.8,Closed within SLA,Team review
SR-00010,HR,Portal,England,Technical,Internal,2,18,104,1.0,1,0,15,Fri,0,Low,32.9,Closed within SLA,Team review
SR-00645,IT,Email,England,Onboarding,Enterprise Client,3,82,197,-0.202,3,1,9,Tue,0,Standard,28.8,Closed within SLA,No escalation
SR-00794,Operations,Phone,England,Technical,Enterprise Client,1,5,173,-0.692,0,0,14,Fri,1,Urgent,70.4,Closed after SLA,Escalated after breach
SR-00223,IT,Phone,England,Access,SME Client,1,40,213,-0.69,1,0,11,Mon,0,Low,8.1,Closed within SLA,No escalation
SR-00452,Customer Support,Phone,Scotland,Technical,Enterprise Client,2,56,294,-0.596,1,1,18,Thu,0,Urgent,42.2,Closed within SLA,Manager note
SR-00376,Operations,Portal,England,Policy,Internal,2,58,103,-0.58,1,0,17,Thu,0,Standard,11.2,Closed within SLA,Team review
SR-00728,Operations,Portal,Wales,Policy,Enterprise Client,4,31,211,1.0,3,1,19,Tue,0,Low,19.0,Closed within SLA,Team review
SR-00114,IT,Chat,England,Access,Enterprise Client,2,79,164,0.504,1,0,9,Tue,0,Low,18.0,Closed within SLA,Manager note
SR-00397,Customer Support,Portal,England,Access,Internal,1,25,205,0.321,2,1,9,Mon,1,Standard,56.1,Closed after SLA,Team review
SR-00652,Customer Support,Email,Scotland,Access,Internal,1,19,193,-0.969,0,0,15,Tue,1,Standard,59.2,Closed after SLA,No escalation
SR-00419,Operations,Phone,Northern Ireland,Billing,Internal,4,61,186,0.6,2,1,13,Tue,0,Low,30.0,Closed within SLA,No escalation
SR-00065,IT,Chat,England,Access,Internal,4,2,178,-0.118,1,0,13,Mon,1,Urgent,61.5,Closed after SLA,Escalated after breach
SR-00812,Operations,Portal,Scotland,Technical,Internal,0,37,233,0.366,1,0,7,Tue,0,Low,20.2,Closed within SLA,No escalation
SR-00265,Customer Support,Portal,England,Billing,Public Sector,0,71,328,1.0,1,2,9,Mon,1,Low,54.9,Closed after SLA,Team review
SR-00642,Customer Support,Portal,England,Policy,Enterprise Client,1,6,187,0.574,1,2,19,Thu,1,Low,49.0,Closed after SLA,No escalation
SR-00328,IT,Email,England,Policy,Enterprise Client,3,2,146,-0.197,2,0,19,Wed,1,Urgent,93.9,Closed after SLA,Escalated after breach
SR-00378,HR,Portal,Scotland,Technical,Internal,1,60,114,0.037,2,1,9,Fri,0,Low,28.6,Closed within SLA,No escalation
SR-00840,IT,Phone,England,Billing,Internal,1,49,188,0.246,2,0,17,Wed,1,Low,56.7,Closed after SLA,No escalation
SR-00021,Customer Support,Portal,Wales,Onboarding,Enterprise Client,1,17,309,0.029,1,1,7,Tue,0,Low,32.0,Closed within SLA,Team review
SR-00300,IT,Phone,England,Access,Internal,3,44,83,0.978,2,0,19,Tue,0,Low,16.4,Closed within SLA,No escalation
SR-00689,Customer Support,Portal,England,Onboarding,Public Sector,0,45,110,0.016,2,0,15,Thu,1,Low,89.0,Closed after SLA,Team review
SR-00410,Legal,Chat,England,Data Request,Enterprise Client,2,10,87,0.765,3,0,10,Tue,1,Standard,46.4,Closed after SLA,No escalation
SR-00390,Customer Support,Email,Wales,Policy,Public Sector,0,5,137,-0.692,0,1,9,Fri,0,Urgent,20.3,Closed within SLA,Team review
SR-00319,Finance,Phone,England,Billing,Enterprise Client,2,5,220,-0.362,3,2,15,Mon,0,Low,17.2,Closed within SLA,Manager note
SR-00340,Legal,Portal,Scotland,Technical,Internal,4,62,125,0.435,2,0,10,Wed,1,Standard,53.9,Closed after SLA,No escalation
SR-00646,Customer Support,Portal,England,Technical,Internal,3,27,185,0.4,4,2,18,Tue,1,Low,54.9,Closed after SLA,No escalation
SR-00564,IT,Portal,Wales,Onboarding,SME Client,2,6,167,-0.129,3,0,14,Thu,0,Low,27.3,Closed within SLA,Team review
SR-00351,IT,Portal,England,Policy,SME Client,3,48,221,-0.778,0,0,13,Tue,1,Standard,74.4,Closed after SLA,No escalation
SR-00654,Operations,Portal,Scotland,Billing,SME Client,3,44,110,0.58,0,0,11,Tue,1,Low,62.9,Closed after SLA,Team review
SR-00052,Operations,Portal,Wales,Technical,Internal,3,14,196,0.217,1,1,17,Tue,1,Standard,35.7,Closed after SLA,No escalation
SR-00187,Finance,Phone,England,Access,Public Sector,2,18,173,-0.015,0,1,14,Tue,1,Standard,79.8,Closed after SLA,Team review
SR-00889,Operations,Chat,England,Technical,Internal,1,37,194,-0.322,0,1,8,Thu,0,Standard,10.5,Closed within SLA,No escalation
SR-00611,IT,Portal,England,Data Request,Enterprise Client,1,48,107,-0.196,2,0,17,Tue,0,Urgent,27.6,Closed within SLA,Team review
SR-00026,Operations,Portal,England,Technical,SME Client,2,11,143,-0.289,2,1,10,Mon,0,Standard,35.2,Closed within SLA,Team review
SR-00511,Operations,Phone,Northern Ireland,Billing,Internal,2,57,178,0.84,2,0,11,Mon,1,Low,38.0,Closed after SLA,No escalation
SR-00335,Operations,Portal,England,Data Request,SME Client,2,8,121,-0.102,2,0,10,Thu,1,Low,87.5,Closed after SLA,No escalation
SR-00723,Operations,Phone,England,Technical,Enterprise Client,3,28,89,0.025,0,0,19,Mon,0,Standard,32.3,Closed within SLA,No escalation
SR-00741,Operations,Phone,England,Billing,Internal,1,26,125,-0.582,2,1,10,Wed,0,Urgent,23.6,Closed within SLA,Manager note
SR-00189,Customer Support,Email,Northern Ireland,Access,SME Client,2,13,358,-1.0,1,1,15,Thu,1,Urgent,58.8,Closed after SLA,Escalated after breach
SR-00583,Operations,Email,England,Billing,Enterprise Client,2,43,131,0.503,0,0,19,Thu,0,Low,22.0,Closed within SLA,Team review
SR-00466,IT,Email,England,Technical,Enterprise Client,2,71,218,0.524,2,0,12,Thu,1,Urgent,61.3,Closed after SLA,Escalated after breach
SR-00758,Legal,Phone,England,Policy,Internal,1,36,246,-0.218,5,0,8,Mon,0,Low,13.8,Closed within SLA,No escalation
SR-00221,Finance,Phone,England,Data Request,Enterprise Client,0,83,188,-0.213,0,0,15,Mon,0,Standard,16.2,Closed within SLA,Manager note
SR-00297,Legal,Portal,England,Technical,Internal,2,32,99,-0.128,3,1,9,Fri,0,Low,6.9,Closed within SLA,Manager note
SR-00278,HR,Portal,England,Technical,Public Sector,3,80,176,0.2,0,0,9,Tue,1,Standard,51.9,Closed after SLA,No escalation
SR-00025,Customer Support,Portal,Scotland,Access,Enterprise Client,2,3,262,-0.127,0,1,8,Wed,0,Low,23.9,Closed within SLA,No escalation
SR-00721,IT,Portal,England,Policy,Enterprise Client,3,62,144,-1.0,1,1,8,Mon,0,Low,20.9,Closed within SLA,No escalation
SR-00558,HR,Email,England,Billing,Internal,1,75,171,-0.053,2,1,7,Wed,1,Standard,66.8,Closed after SLA,Team review
SR-00836,IT,Phone,England,Technical,SME Client,2,76,263,-0.233,3,0,10,Mon,1,Urgent,65.3,Closed after SLA,Escalated after breach
SR-00492,IT,Phone,England,Access,Enterprise Client,2,79,353,-0.278,1,1,13,Thu,1,Low,57.6,Closed after SLA,No escalation
SR-00614,Legal,Phone,England,Technical,Internal,1,74,60,0.302,2,1,11,Fri,0,Standard,39.8,Closed within SLA,No escalation
SR-00729,HR,Portal,Scotland,Data Request,Enterprise Client,4,4,213,-0.733,2,0,18,Fri,0,Standard,15.1,Closed within SLA,No escalation
SR-00358,Customer Support,Phone,England,Access,Public Sector,4,45,78,0.657,1,0,15,Wed,1,Standard,67.2,Closed after SLA,Team review
SR-00681,Operations,Chat,England,Billing,Internal,1,67,156,0.673,1,1,18,Mon,1,Low,47.5,Closed after SLA,No escalation
SR-00386,Legal,Chat,England,Billing,Internal,3,31,226,0.352,0,0,16,Mon,0,Low,38.5,Closed within SLA,No escalation
SR-00622,HR,Email,England,Onboarding,Internal,2,42,268,-0.015,3,0,11,Tue,0,Standard,10.2,Closed within SLA,No escalation
SR-00837,Customer Support,Chat,England,Billing,Enterprise Client,1,19,176,1.0,1,0,15,Mon,1,Low,65.2,Closed after SLA,No escalation
SR-00352,Operations,Portal,England,Access,Public Sector,6,61,233,0.339,1,2,18,Tue,0,Low,27.6,Closed within SLA,Manager note
SR-00219,Customer Support,Portal,England,Access,Enterprise Client,1,36,91,-0.069,0,2,18,Tue,1,Standard,74.3,Closed after SLA,No escalation
SR-00240,Operations,Phone,Scotland,Access,Internal,2,55,166,-0.314,1,0,18,Fri,0,Low,12.4,Closed within SLA,No escalation
SR-00626,HR,Portal,Scotland,Policy,Public Sector,4,48,109,-0.117,0,0,11,Fri,0,Low,15.3,Closed within SLA,No escalation
SR-00660,HR,Chat,England,Technical,Internal,1,64,100,-0.469,1,1,14,Wed,1,Urgent,47.6,Closed after SLA,Escalated after breach
SR-00193,Operations,Portal,England,Technical,Internal,4,11,198,0.134,2,1,12,Tue,1,Urgent,80.0,Closed after SLA,Escalated after breach
SR-00192,Finance,Email,England,Data Request,Internal,2,17,204,0.172,0,0,15,Tue,0,Low,19.3,Closed within SLA,No escalation
SR-00527,Legal,Portal,England,Technical,SME Client,3,27,230,0.865,0,0,11,Fri,0,Low,26.1,Closed within SLA,Manager note
SR-00596,Finance,Email,Northern Ireland,Data Request,SME Client,6,12,218,1.0,1,1,13,Tue,0,Standard,31.1,Closed within SLA,No escalation
SR-00133,IT,Email,Scotland,Onboarding,SME Client,1,12,88,0.621,1,0,16,Fri,0,Low,34.8,Closed within SLA,No escalation
SR-00848,IT,Email,Scotland,Data Request,SME Client,4,68,239,-1.0,1,1,10,Fri,0,Urgent,29.3,Closed within SLA,Team review
SR-00253,HR,Portal,England,Access,SME Client,2,23,180,0.288,0,2,13,Tue,0,Low,1.0,Closed within SLA,Team review
SR-00602,Customer Support,Chat,Scotland,Billing,Enterprise Client,3,79,194,-0.814,1,1,19,Thu,0,Standard,1.0,Closed within SLA,No escalation
SR-00264,Operations,Portal,England,Technical,SME Client,3,67,267,0.049,0,0,16,Wed,1,Standard,49.4,Closed after SLA,No escalation
SR-00071,Operations,Portal,England,Access,SME Client,2,61,182,-0.021,0,4,15,Wed,1,Standard,63.5,Closed after SLA,No escalation
SR-00273,Operations,Portal,England,Access,Internal,3,62,102,0.83,2,1,18,Fri,0,Standard,19.6,Closed within SLA,No escalation
SR-00424,Operations,Phone,England,Onboarding,Public Sector,3,69,61,-0.801,4,0,18,Wed,0,Standard,34.1,Closed within SLA,Team review
SR-00116,Customer Support,Portal,England,Onboarding,Enterprise Client,1,6,158,0.017,2,1,9,Thu,0,Standard,21.3,Closed within SLA,No escalation
SR-00290,Operations,Email,England,Technical,Internal,4,15,216,-0.583,3,0,10,Mon,1,Standard,62.2,Closed after SLA,No escalation
SR-00656,Finance,Phone,England,Billing,Internal,3,4,283,0.253,0,2,13,Mon,1,Low,69.5,Closed after SLA,No escalation
SR-00694,Finance,Email,Wales,Access,SME Client,4,78,164,-0.2,1,0,7,Wed,0,Low,1.0,Closed within SLA,No escalation
SR-00542,IT,Portal,England,Onboarding,SME Client,3,25,131,0.429,1,0,8,Mon,1,Low,75.1,Closed after SLA,No escalation
SR-00499,Finance,Email,England,Access,Enterprise Client,1,77,252,-0.31,0,0,15,Wed,1,Standard,64.8,Closed after SLA,Team review
SR-00279,Customer Support,Portal,England,Technical,Internal,3,30,168,0.289,1,1,8,Mon,0,Urgent,16.8,Closed within SLA,No escalation
SR-00003,Customer Support,Portal,England,Billing,SME Client,2,32,113,0.202,0,1,18,Fri,1,Low,65.6,Closed after SLA,Team review
SR-00230,Operations,Chat,England,Technical,Enterprise Client,0,74,107,0.831,0,1,8,Mon,0,Standard,21.6,Closed within SLA,No escalation
SR-00494,Finance,Portal,England,Technical,Internal,0,7,110,0.157,0,1,7,Thu,0,Low,29.8,Closed within SLA,Team review
SR-00533,Finance,Portal,Scotland,Onboarding,SME Client,5,77,197,0.277,1,1,13,Tue,1,Standard,69.0,Closed after SLA,No escalation
SR-00771,Finance,Portal,England,Onboarding,Internal,6,31,325,-0.836,1,0,17,Mon,0,Low,33.2,Closed within SLA,Team review
SR-00200,Finance,Portal,England,Onboarding,Internal,3,16,221,-0.259,0,1,11,Tue,0,Low,14.4,Closed within SLA,No escalation
SR-00573,HR,Portal,England,Technical,Public Sector,1,9,139,0.541,2,0,8,Thu,1,Standard,57.8,Closed after SLA,Team review
SR-00747,Finance,Portal,Northern Ireland,Technical,Enterprise Client,0,20,269,0.308,1,1,18,Fri,0,Low,41.4,Closed within SLA,No escalation
SR-00066,IT,Email,Wales,Data Request,SME Client,2,23,175,0.568,1,1,18,Thu,1,Standard,64.7,Closed after SLA,Team review
SR-00450,IT,Portal,England,Access,Enterprise Client,4,74,83,0.793,1,0,16,Tue,1,Standard,77.0,Closed after SLA,Team review
SR-00701,Finance,Chat,England,Access,SME Client,1,23,134,-0.098,2,0,7,Thu,0,Low,32.0,Closed within SLA,No escalation
SR-00657,Customer Support,Chat,England,Onboarding,Internal,2,40,190,0.646,0,0,11,Thu,0,Low,17.6,Closed within SLA,No escalation
SR-00363,Operations,Portal,England,Billing,Enterprise Client,2,57,80,0.729,0,0,18,Thu,1,Standard,52.9,Closed after SLA,No escalation
SR-00409,Operations,Portal,England,Access,Internal,5,59,322,0.54,2,0,15,Fri,0,Low,14.2,Closed within SLA,No escalation
SR-00420,Customer Support,Chat,England,Billing,Enterprise Client,1,80,124,-1.0,2,1,11,Tue,1,Urgent,70.9,Closed after SLA,Escalated after breach
SR-00274,IT,Phone,Wales,Data Request,Internal,3,4,107,0.075,1,1,9,Tue,0,Urgent,21.6,Closed within SLA,No escalation
SR-00391,IT,Email,England,Policy,Public Sector,1,45,233,-0.207,3,2,18,Tue,0,Standard,13.1,Closed within SLA,No escalation
SR-00680,Finance,Chat,Northern Ireland,Data Request,Enterprise Client,2,38,97,-0.156,0,1,7,Fri,0,Low,36.8,Closed within SLA,No escalation
SR-00178,Legal,Email,Northern Ireland,Onboarding,Internal,2,55,177,-1.0,2,0,17,Mon,0,Low,1.0,Closed within SLA,No escalation
SR-00301,Customer Support,Email,Scotland,Policy,Internal,6,4,83,-0.7,2,0,14,Mon,1,Low,78.6,Closed after SLA,Team review
SR-00038,HR,Portal,England,Onboarding,Internal,1,27,180,-0.128,0,2,12,Thu,0,Standard,1.0,Closed within SLA,No escalation
SR-00203,HR,Phone,Northern Ireland,Access,Internal,1,45,148,-0.471,2,0,18,Mon,0,Low,27.3,Closed within SLA,No escalation
SR-00237,HR,Email,Northern Ireland,Billing,Enterprise Client,0,60,105,0.576,1,0,16,Thu,0,Low,41.5,Closed within SLA,No escalation
SR-00150,Operations,Portal,Wales,Billing,Internal,0,45,149,0.414,1,0,17,Fri,0,Low,8.1,Closed within SLA,No escalation
SR-00218,Operations,Phone,England,Policy,Internal,1,1,240,-0.212,0,2,16,Thu,1,Standard,73.3,Closed after SLA,No escalation
SR-00604,IT,Email,Wales,Data Request,Enterprise Client,2,75,299,0.151,3,1,13,Mon,0,Standard,20.6,Closed within SLA,No escalation
SR-00506,Customer Support,Portal,England,Onboarding,Internal,2,2,186,0.834,2,0,17,Mon,0,Low,18.3,Closed within SLA,No escalation
SR-00474,Operations,Phone,Scotland,Data Request,Internal,2,10,113,0.25,2,0,10,Mon,1,Standard,75.9,Closed after SLA,Team review
SR-00545,Operations,Portal,Scotland,Access,SME Client,1,43,89,0.835,1,1,8,Wed,0,Low,32.0,Closed within SLA,Manager note
SR-00327,Customer Support,Email,England,Billing,SME Client,1,11,103,1.0,0,0,18,Thu,1,Low,78.0,Closed after SLA,Team review
SR-00303,IT,Phone,Scotland,Billing,Enterprise Client,0,37,179,-0.811,3,1,17,Thu,1,Standard,56.2,Closed after SLA,No escalation
SR-00770,IT,Chat,Northern Ireland,Data Request,SME Client,2,37,305,0.494,0,0,11,Tue,1,Standard,63.6,Closed after SLA,No escalation
SR-00821,Operations,Portal,Wales,Onboarding,Internal,4,46,250,-0.177,2,0,9,Thu,1,Low,69.8,Closed after SLA,No escalation
SR-00599,Legal,Portal,England,Onboarding,Internal,2,29,303,-0.267,0,0,8,Tue,0,Low,1.0,Closed within SLA,No escalation
SR-00828,Operations,Chat,England,Access,Internal,5,37,158,0.152,1,0,18,Thu,0,Urgent,22.6,Closed within SLA,No escalation
SR-00752,Finance,Portal,England,Onboarding,Internal,2,44,285,0.145,0,1,10,Mon,0,Low,23.3,Closed within SLA,No escalation
SR-00664,Operations,Chat,England,Technical,Enterprise Client,3,65,168,-0.049,3,0,17,Mon,0,Standard,14.9,Closed within SLA,No escalation
SR-00665,Finance,Phone,England,Billing,Enterprise Client,5,15,143,-0.545,2,0,19,Mon,0,Urgent,1.0,Closed within SLA,Team review
SR-00194,Customer Support,Portal,England,Technical,Internal,4,24,166,0.433,0,0,15,Tue,1,Standard,57.6,Closed after SLA,Team review
SR-00236,Customer Support,Portal,Scotland,Onboarding,SME Client,1,13,291,-0.128,1,0,9,Thu,0,Low,16.4,Closed within SLA,Manager note
SR-00749,Customer Support,Chat,England,Billing,SME Client,1,80,261,0.499,2,1,18,Wed,0,Low,1.0,Closed within SLA,No escalation
SR-00056,Customer Support,Chat,Northern Ireland,Technical,Internal,2,48,122,0.571,2,2,15,Fri,1,Standard,71.7,Closed after SLA,No escalation
SR-00372,Finance,Portal,England,Data Request,Internal,0,46,166,-0.6,1,1,15,Mon,0,Low,8.1,Closed within SLA,No escalation
SR-00097,Finance,Email,England,Technical,Internal,1,25,127,-0.012,3,0,13,Mon,1,Standard,55.0,Closed after SLA,Team review
SR-00142,HR,Phone,England,Onboarding,Internal,3,33,104,0.82,1,0,18,Tue,1,Standard,65.6,Closed after SLA,No escalation
SR-00624,HR,Phone,England,Technical,Internal,3,79,169,0.507,2,1,10,Wed,0,Urgent,17.0,Closed within SLA,Manager note
SR-00774,Customer Support,Portal,Scotland,Onboarding,Internal,2,36,159,0.073,0,0,16,Fri,0,Standard,24.8,Closed within SLA,No escalation
SR-00861,Customer Support,Portal,Scotland,Technical,SME Client,4,49,87,-0.103,2,1,12,Mon,1,Urgent,90.2,Closed after SLA,Escalated after breach
SR-00692,Customer Support,Portal,England,Technical,Internal,4,15,208,0.604,2,3,16,Fri,0,Urgent,43.4,Closed within SLA,No escalation
SR-00121,IT,Chat,England,Billing,Enterprise Client,2,35,140,-0.14,1,0,15,Mon,1,Standard,61.7,Closed after SLA,No escalation
SR-00412,IT,Chat,England,Billing,Internal,4,8,197,-0.424,2,0,12,Fri,1,Urgent,80.5,Closed after SLA,Escalated after breach
SR-00063,IT,Portal,Northern Ireland,Access,Public Sector,4,23,25,0.164,0,0,12,Fri,0,Standard,21.4,Closed within SLA,No escalation
SR-00783,HR,Phone,England,Policy,Internal,3,19,211,0.009,1,1,14,Mon,1,Urgent,42.1,Closed after SLA,Escalated after breach
SR-00361,Legal,Portal,England,Technical,Internal,1,31,151,0.265,1,1,7,Fri,0,Standard,12.8,Closed within SLA,No escalation
SR-00004,IT,Email,England,Technical,Internal,3,36,260,1.0,1,0,15,Tue,0,Low,26.9,Closed within SLA,Team review
SR-00059,Operations,Email,England,Technical,Public Sector,1,74,25,-0.216,1,0,12,Thu,1,Urgent,79.6,Closed after SLA,Escalated after breach
SR-00224,Legal,Portal,England,Technical,Internal,5,30,114,-0.264,1,0,15,Wed,0,Low,16.0,Closed within SLA,No escalation
SR-00786,Finance,Portal,England,Technical,Public Sector,2,64,276,0.288,0,0,12,Mon,0,Standard,8.8,Closed within SLA,No escalation
SR-00102,IT,Email,England,Onboarding,Internal,4,7,124,-1.0,1,1,13,Tue,1,Urgent,68.5,Closed after SLA,Escalated after breach
SR-00644,Operations,Portal,England,Access,SME Client,2,32,173,-0.398,3,3,8,Mon,0,Low,9.6,Closed within SLA,No escalation
SR-00222,HR,Portal,England,Access,Enterprise Client,1,8,206,-0.243,0,1,8,Tue,1,Low,53.2,Closed after SLA,Manager note
SR-00650,Operations,Portal,England,Billing,Enterprise Client,3,69,196,-0.007,2,1,12,Fri,1,Urgent,56.9,Closed after SLA,Escalated after breach
SR-00005,Operations,Chat,England,Technical,Public Sector,1,12,188,0.302,0,0,8,Tue,0,Low,7.4,Closed within SLA,Manager note
SR-00053,Customer Support,Portal,England,Policy,Internal,1,48,155,0.521,0,0,12,Fri,1,Standard,65.3,Closed after SLA,No escalation
SR-00018,Operations,Portal,England,Data Request,Internal,0,33,232,0.077,3,0,8,Mon,0,Low,1.0,Closed within SLA,No escalation
SR-00307,Finance,Email,England,Technical,Enterprise Client,2,31,295,0.141,2,0,11,Wed,0,Standard,8.9,Closed within SLA,Team review
SR-00156,IT,Phone,Northern Ireland,Data Request,SME Client,1,43,210,-0.959,0,0,10,Tue,1,Standard,63.9,Closed after SLA,No escalation
SR-00382,Legal,Email,Northern Ireland,Access,SME Client,4,73,291,-0.232,2,1,11,Tue,0,Standard,12.1,Closed within SLA,No escalation
SR-00846,Customer Support,Email,Wales,Onboarding,SME Client,8,24,167,-0.209,2,0,11,Wed,0,Standard,18.8,Closed within SLA,No escalation
SR-00249,Finance,Email,England,Data Request,Internal,0,45,88,0.485,0,1,10,Mon,1,Urgent,96.6,Closed after SLA,Escalated after breach
SR-00250,HR,Chat,England,Policy,Internal,2,20,267,0.869,0,1,16,Thu,1,Standard,67.1,Closed after SLA,No escalation
SR-00359,HR,Email,England,Access,Internal,3,53,221,-0.034,3,0,15,Thu,1,Low,56.7,Closed after SLA,Team review
SR-00882,IT,Phone,Wales,Technical,Enterprise Client,3,61,219,0.753,0,0,12,Tue,1,Standard,52.4,Closed after SLA,Team review
SR-00885,Operations,Portal,England,Policy,Public Sector,4,22,200,-0.093,0,0,10,Thu,1,Urgent,72.9,Closed after SLA,Escalated after breach
SR-00761,IT,Portal,England,Onboarding,Internal,1,17,120,0.764,0,1,8,Tue,0,Low,8.5,Closed within SLA,No escalation
SR-00031,Customer Support,Portal,England,Access,Internal,2,42,162,0.103,2,0,17,Mon,1,Standard,71.9,Closed after SLA,No escalation
SR-00427,Operations,Portal,England,Onboarding,Enterprise Client,2,17,120,0.634,1,0,9,Thu,0,Standard,11.3,Closed within SLA,No escalation
SR-00865,Operations,Portal,England,Data Request,Internal,5,25,107,-0.16,3,0,14,Mon,0,Standard,19.7,Closed within SLA,No escalation
SR-00118,IT,Phone,Scotland,Technical,Enterprise Client,0,10,151,-0.557,3,1,14,Mon,1,Urgent,66.3,Closed after SLA,Escalated after breach
SR-00621,Customer Support,Portal,England,Access,Internal,1,58,115,0.146,1,2,15,Mon,0,Low,26.2,Closed within SLA,No escalation
SR-00117,Customer Support,Phone,England,Billing,Enterprise Client,3,44,186,0.689,0,1,8,Mon,1,Standard,60.3,Closed after SLA,No escalation
SR-00423,Operations,Portal,England,Billing,Internal,2,28,208,0.479,0,0,18,Tue,1,Urgent,78.5,Closed after SLA,Escalated after breach
SR-00595,Operations,Email,England,Onboarding,Internal,4,57,209,-0.106,0,2,9,Fri,1,Standard,67.2,Closed after SLA,Manager note
SR-00755,IT,Chat,England,Data Request,Public Sector,1,77,94,-0.983,0,0,19,Tue,0,Standard,21.2,Closed within SLA,Manager note
SR-00028,Operations,Chat,England,Access,Enterprise Client,1,75,132,-0.997,0,0,17,Tue,1,Standard,82.8,Closed after SLA,No escalation
SR-00308,IT,Email,Northern Ireland,Access,Public Sector,2,76,128,0.809,3,2,14,Tue,1,Standard,53.2,Closed after SLA,No escalation
SR-00448,IT,Portal,England,Technical,Internal,1,1,66,0.63,0,0,16,Tue,1,Urgent,82.1,Closed after SLA,Escalated after breach
SR-00529,Customer Support,Phone,England,Technical,Enterprise Client,2,4,217,-0.173,3,1,16,Fri,1,Standard,67.2,Closed after SLA,No escalation
SR-00201,Customer Support,Portal,Scotland,Billing,Internal,1,58,156,-0.155,2,0,19,Wed,0,Low,24.3,Closed within SLA,No escalation
SR-00508,Customer Support,Portal,England,Access,Enterprise Client,1,31,135,0.543,0,1,18,Tue,0,Standard,13.2,Closed within SLA,No escalation
SR-00591,Customer Support,Portal,England,Billing,Internal,3,27,166,-0.221,1,1,17,Wed,0,Low,31.4,Closed within SLA,No escalation
SR-00810,Legal,Portal,England,Billing,Internal,1,55,214,0.627,0,0,17,Thu,0,Low,15.8,Closed within SLA,No escalation
SR-00713,Customer Support,Phone,England,Onboarding,Internal,3,47,257,0.191,0,0,17,Tue,0,Low,24.1,Closed within SLA,No escalation
SR-00453,IT,Portal,England,Billing,SME Client,4,56,146,-1.0,1,0,16,Thu,1,Low,55.0,Closed after SLA,No escalation
SR-00315,Finance,Portal,England,Billing,SME Client,1,15,255,-0.055,2,1,10,Fri,1,Low,88.2,Closed after SLA,Team review
SR-00715,Customer Support,Phone,England,Billing,Internal,1,44,219,-0.12,1,0,19,Fri,1,Low,66.7,Closed after SLA,Team review
SR-00281,Operations,Phone,England,Technical,Enterprise Client,3,57,241,-0.228,1,0,18,Fri,0,Urgent,18.3,Closed within SLA,No escalation
SR-00851,Operations,Email,Northern Ireland,Policy,Enterprise Client,4,67,248,-0.175,0,1,11,Mon,0,Low,36.0,Closed within SLA,No escalation
SR-00354,IT,Email,Scotland,Technical,Enterprise Client,3,16,217,-0.52,2,0,19,Wed,1,Urgent,75.4,Closed after SLA,Escalated after breach
SR-00802,Finance,Chat,England,Onboarding,Enterprise Client,0,10,272,0.048,2,0,16,Wed,0,Low,29.6,Closed within SLA,No escalation
SR-00208,IT,Portal,England,Access,Enterprise Client,4,78,96,0.403,0,0,16,Mon,0,Low,23.3,Closed within SLA,No escalation
SR-00380,IT,Email,Northern Ireland,Billing,Enterprise Client,5,43,223,0.541,1,0,10,Wed,1,Standard,69.6,Closed after SLA,Team review
SR-00684,HR,Portal,England,Onboarding,Internal,3,31,212,-0.027,0,0,16,Fri,0,Standard,22.1,Closed within SLA,No escalation
SR-00710,HR,Email,England,Access,Enterprise Client,2,83,161,0.952,1,0,11,Mon,1,Low,67.9,Closed after SLA,Team review
